,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
194,2017,North West,F,   20-49,18,595,2814
195,2017,North West,F,   50-99,12,165,2215
196,2017,North West,F,   100-199,6,50,1042
197,2017,North West,F,   200-249,*,10,*
198,2017,North West,F,   250-499,7,20,1302
199,2017,North West,F,   500 or more,*,10,*
200,2017,North West,G,   1,7,2930,599
201,2017,North West,G,   2-4,41,13320,5668
202,2017,North West,G,   5-9,40,5955,6358
203,2017,North West,G,   10-19,38,2785,7528
204,2017,North West,G,   20-49,41,1365,10323
205,2017,North West,G,   50-99,26,385,6908
206,2017,North West,G,   100-199,20,140,5986
207,2017,North West,G,   200-249,8,35,2428
208,2017,North West,G,   250-499,16,50,3703
209,2017,North West,G,   500 or more,234,70,35223
210,2017,North West,H,   1,1,365,52
211,2017,North West,H,   2-4,6,2295,509
212,2017,North West,H,   5-9,6,865,625
213,2017,North West,H,   10-19,8,565,791
214,2017,North West,H,   20-49,10,325,1269
215,2017,North West,H,   50-99,8,115,1039
216,2017,North West,H,   100-199,6,40,1035
217,2017,North West,H,   200-249,3,15,535
218,2017,North West,H,   250-499,4,10,355
219,2017,North West,H,   500 or more,40,15,19645
220,2017,North West,I,   1,3,1425,140
221,2017,North West,I,   2-4,21,6015,831
222,2017,North West,I,   5-9,23,3235,780
223,2017,North West,I,   10-19,26,1880,777
224,2017,North West,I,   20-49,30,1010,964
225,2017,North West,I,   50-99,15,225,615
226,2017,North West,I,   100-199,11,80,535
227,2017,North West,I,   200-249,3,15,124
228,2017,North West,I,   250-499,10,30,381
229,2017,North West,I,   500 or more,85,30,3390
230,2017,North West,J,   1,34,15200,2569
231,2017,North West,J,   2-4,201,69735,19669
232,2017,North West,J,   5-9,172,25130,17966
233,2017,North West,J,   10-19,196,14225,19827
234,2017,North West,J,   20-49,236,7755,27645
235,2017,North West,J,   50-99,169,2470,22834
236,2017,North West,J,   100-199,131,945,19484
237,2017,North West,J,   200-249,49,220,7373
238,2017,North West,J,   250-499,127,375,20207
239,2017,North West,J,   500 or more,717,355,121873
240,2017,North West,K,   1,0,85,  ..
241,2017,North West,K,   2-4,3,1100,  ..
242,2017,North West,K,   5-9,3,390,  ..
243,2017,North West,K,   10-19,3,235,  ..
244,2017,North West,K,   20-49,3,100,  ..
245,2017,North West,K,   50-99,3,50,  ..
246,2017,North West,K,   100-199,3,25,  ..
247,2017,North West,K,   200-249,2,5,  ..
248,2017,North West,K,   250-499,3,10,  ..
249,2017,North West,K,   500 or more,24,15,  ..
250,2017,North West,L,   1,1,270,*
251,2017,North West,L,   2-4,7,2420,693
252,2017,North West,L,   5-9,6,840,467
253,2017,North West,L,   10-19,4,330,374
254,2017,North West,L,   20-49,3,90,211
255,2017,North West,L,   50-99,2,35,165
256,2017,North West,L,   100-199,2,15,260
257,2017,North West,L,   200-249,1,5,*
258,2017,North West,L,   250-499,5,15,728
259,2017,North West,L,   500 or more,4,5,*
260,2017,North West,M,   1,3,1375,195
261,2017,North West,M,   2-4,28,11165,2462
262,2017,North West,M,   5-9,17,2525,1886
263,2017,North West,M,   10-19,20,1485,1716
264,2017,North West,M,   20-49,24,785,2196
265,2017,North West,M,   50-99,19,275,1708
266,2017,North West,M,   100-199,11,80,1942
267,2017,North West,M,   200-249,4,20,410
268,2017,North West,M,   250-499,14,40,1561
269,2017,North West,M,   500 or more,61,40,4231
270,2017,North West,N,   1,4,1940,486
