,Region,Year,Total resident population numbers
91,East Midlands,2022,4934939
92,West Midlands,2000,5269626
93,West Midlands,2001,5280727
94,West Midlands,2002,5301243
95,West Midlands,2003,5325475
96,West Midlands,2004,5346376
97,West Midlands,2005,5380687
98,West Midlands,2006,5415521
99,West Midlands,2007,5451924
100,West Midlands,2008,5496240
101,West Midlands,2009,5528007
102,West Midlands,2010,5565866
103,West Midlands,2011,5608667
104,West Midlands,2012,5640325
105,West Midlands,2013,5676945
106,West Midlands,2014,5716882
107,West Midlands,2015,5756287
108,West Midlands,2016,5812248
109,West Midlands,2017,5855052
110,West Midlands,2018,5889328
111,West Midlands,2019,5920977
112,West Midlands,2020,5931924
113,West Midlands,2021,5956226
114,West Midlands,2022,6021653
115,East,2000,5374972
116,East,2001,5400463
117,East,2002,5432688
118,East,2003,5474133
119,East,2004,5508564
120,East,2005,5562653
121,East,2006,5606294
122,East,2007,5653534
123,East,2008,5708350
124,East,2009,5751443
125,East,2010,5807402
126,East,2011,5862418
127,East,2012,5915033
128,East,2013,5970484
129,East,2014,6039521
130,East,2015,6098262
131,East,2016,6161075
132,East,2017,6202843
133,East,2018,6237376
134,East,2019,6274179
135,East,2020,6297779
136,East,2021,6349646
137,East,2022,6398497
138,London,2000,7236712
139,London,2001,7322403
140,London,2002,7376671
141,London,2003,7394817
142,London,2004,7432730
143,London,2005,7519009
144,London,2006,7597825
145,London,2007,7693473
146,London,2008,7812161
147,London,2009,7942594
148,London,2010,8061495
149,London,2011,8204407
150,London,2012,8320767
151,London,2013,8438987
152,London,2014,8547192
153,London,2015,8659545
154,London,2016,8743651
155,London,2017,8776229
156,London,2018,8833335
157,London,2019,8889743
158,London,2020,8867008
159,London,2021,8804769
160,London,2022,8866180
161,South East,2000,7990598
162,South East,2001,8023449
163,South East,2002,8045192
164,South East,2003,8087924
165,South East,2004,8133100
166,South East,2005,8202896
167,South East,2006,8270861
168,South East,2007,8351391
169,South East,2008,8426399
170,South East,2009,8490922
171,South East,2010,8577771
172,South East,2011,8652784
173,South East,2012,8731840
174,South East,2013,8809382
175,South East,2014,8893930
176,South East,2015,8969638
177,South East,2016,9053011
178,South East,2017,9105076
179,South East,2018,9150245
180,South East,2019,9193770
181,South East,2020,9225273
182,South East,2021,9295829
183,South East,2022,9379833
184,South West,2000,4917074
185,South West,2001,4943364
186,South West,2002,4976129
187,South West,2003,5006653
188,South West,2004,5038284
189,South West,2005,5086121
190,South West,2006,5119840
191,South West,2007,5170537
192,South West,2008,5205044
193,South West,2009,5226821
194,South West,2010,5261270
195,South West,2011,5300831
196,South West,2012,5336343
197,South West,2013,5374783
198,South West,2014,5422159
199,South West,2015,5471487
200,South West,2016,5526982
201,South West,2017,5574666
202,South West,2018,5609701
203,South West,2019,5642792
204,South West,2020,5661990
205,South West,2021,5712822
206,South West,2022,5764881
207,Wales,2000,2906870
208,Wales,2001,2910232
209,Wales,2002,2922876
210,Wales,2003,2937721
211,Wales,2004,2957422
212,Wales,2005,2969309
213,Wales,2006,2985668
214,Wales,2007,3006299
215,Wales,2008,3025867
216,Wales,2009,3038872
217,Wales,2010,3049971
218,Wales,2011,3063758
219,Wales,2012,3070928
220,Wales,2013,3071058
221,Wales,2014,3073788
222,Wales,2015,3072739
223,Wales,2016,3077165
224,Wales,2017,3081366
225,Wales,2018,3083840
226,Wales,2019,3087732
227,Wales,2020,3104483
228,Wales,2021,3105633
229,Wales,2022,3131640
230,Scotland,2000,5062940
231,Scotland,2001,5064200
232,Scotland,2002,5066000
233,Scotland,2003,5068500
234,Scotland,2004,5084300
235,Scotland,2005,5110200
236,Scotland,2006,5133000
237,Scotland,2007,5170000
238,Scotland,2008,5202900
239,Scotland,2009,5231900
240,Scotland,2010,5262200
241,Scotland,2011,5299900
242,Scotland,2012,5313600
243,Scotland,2013,5327700
244,Scotland,2014,5347600
245,Scotland,2015,5373000
246,Scotland,2016,5404700
247,Scotland,2017,5424800
248,Scotland,2018,5438100
249,Scotland,2019,5463300
250,Scotland,2020,5466000
251,Scotland,2021,5479900
252,Scotland,2022,5447698
253,Northern Ireland,2000,1682944
254,Northern Ireland,2001,1688838
255,Northern Ireland,2002,1697534
256,Northern Ireland,2003,1704924
257,Northern Ireland,2004,1714042
258,Northern Ireland,2005,1727733
259,Northern Ireland,2006,1743113
260,Northern Ireland,2007,1761683
261,Northern Ireland,2008,1779152
262,Northern Ireland,2009,1793333
263,Northern Ireland,2010,1804833
264,Northern Ireland,2011,1814318
265,Northern Ireland,2012,1824603
266,Northern Ireland,2013,1831677
267,Northern Ireland,2014,1843186
268,Northern Ireland,2015,1854943
269,Northern Ireland,2016,1866042
270,Northern Ireland,2017,1875178
271,Northern Ireland,2018,1886259
272,Northern Ireland,2019,1898519
273,Northern Ireland,2020,1900523
274,Northern Ireland,2021,1904564
275,Northern Ireland,2022,1910543
