,Region,Year,Value Added Tax (VAT) on products
182,South East,2021,22594
183,South East,2022,26461
184,South West,2000,5091
185,South West,2001,5162
186,South West,2002,5517
187,South West,2003,6089
188,South West,2004,6609
189,South West,2005,6845
190,South West,2006,7173
191,South West,2007,7584
192,South West,2008,7659
193,South West,2009,6648
194,South West,2010,8005
195,South West,2011,9251
196,South West,2012,9639
197,South West,2013,10190
198,South West,2014,10662
199,South West,2015,10801
200,South West,2016,11020
201,South West,2017,11872
202,South West,2018,12771
203,South West,2019,13417
204,South West,2020,11849
205,South West,2021,13273
206,South West,2022,15481
207,Wales,2000,2848
208,Wales,2001,2983
209,Wales,2002,3141
210,Wales,2003,3451
211,Wales,2004,3652
212,Wales,2005,3767
213,Wales,2006,4058
214,Wales,2007,4229
215,Wales,2008,4231
216,Wales,2009,3626
217,Wales,2010,4287
218,Wales,2011,5006
219,Wales,2012,5160
220,Wales,2013,5455
221,Wales,2014,5681
222,Wales,2015,5839
223,Wales,2016,6027
224,Wales,2017,6310
225,Wales,2018,6631
226,Wales,2019,6941
227,Wales,2020,6256
228,Wales,2021,6961
229,Wales,2022,8003
230,Scotland,2000,5377
231,Scotland,2001,5780
232,Scotland,2002,6156
233,Scotland,2003,6707
234,Scotland,2004,7007
235,Scotland,2005,7212
236,Scotland,2006,7982
237,Scotland,2007,8326
238,Scotland,2008,8244
239,Scotland,2009,7128
240,Scotland,2010,8549
241,Scotland,2011,9791
242,Scotland,2012,10009
243,Scotland,2013,10382
244,Scotland,2014,10966
245,Scotland,2015,11266
246,Scotland,2016,11571
247,Scotland,2017,12003
248,Scotland,2018,12451
249,Scotland,2019,13089
250,Scotland,2020,11733
251,Scotland,2021,13492
252,Scotland,2022,15394
253,Northern Ireland,2000,1795
254,Northern Ireland,2001,1960
255,Northern Ireland,2002,2013
256,Northern Ireland,2003,2225
257,Northern Ireland,2004,2351
258,Northern Ireland,2005,2403
259,Northern Ireland,2006,2583
260,Northern Ireland,2007,2789
261,Northern Ireland,2008,2813
262,Northern Ireland,2009,2469
263,Northern Ireland,2010,2932
264,Northern Ireland,2011,3437
265,Northern Ireland,2012,3511
266,Northern Ireland,2013,3616
267,Northern Ireland,2014,3735
268,Northern Ireland,2015,3937
269,Northern Ireland,2016,4009
270,Northern Ireland,2017,4106
271,Northern Ireland,2018,4143
272,Northern Ireland,2019,4194
273,Northern Ireland,2020,3817
274,Northern Ireland,2021,4440
275,Northern Ireland,2022,5099
