,Region,Year,Gross domestic product (GDP) at current market prices
129,East,2014,155586
130,East,2015,161614
131,East,2016,168698
132,East,2017,179799
133,East,2018,183484
134,East,2019,191077
135,East,2020,178899
136,East,2021,195595
137,East,2022,213828
138,London,2000,222815
139,London,2001,229343
140,London,2002,237805
141,London,2003,251438
142,London,2004,264024
143,London,2005,284255
144,London,2006,301650
145,London,2007,327381
146,London,2008,334602
147,London,2009,327455
148,London,2010,343600
149,London,2011,359273
150,London,2012,373114
151,London,2013,392876
152,London,2014,419572
153,London,2015,434589
154,London,2016,460923
155,London,2017,477262
156,London,2018,494959
157,London,2019,511331
158,London,2020,470080
159,London,2021,508056
160,London,2022,562179
161,South East,2000,165649
162,South East,2001,171949
163,South East,2002,179399
164,South East,2003,188042
165,South East,2004,194735
166,South East,2005,204516
167,South East,2006,213714
168,South East,2007,223564
169,South East,2008,234081
170,South East,2009,228649
171,South East,2010,237294
172,South East,2011,245605
173,South East,2012,254259
174,South East,2013,263966
175,South East,2014,275170
176,South East,2015,285334
177,South East,2016,293248
178,South East,2017,304508
179,South East,2018,314886
180,South East,2019,331457
181,South East,2020,321947
182,South East,2021,341182
183,South East,2022,374453
184,South West,2000,82267
185,South West,2001,86519
186,South West,2002,90357
187,South West,2003,95286
188,South West,2004,100679
189,South West,2005,105374
190,South West,2006,110352
191,South West,2007,114981
192,South West,2008,119805
193,South West,2009,117257
194,South West,2010,122149
195,South West,2011,124808
196,South West,2012,128713
197,South West,2013,132691
198,South West,2014,139703
199,South West,2015,142562
200,South West,2016,147757
201,South West,2017,155596
202,South West,2018,160262
203,South West,2019,166873
204,South West,2020,157517
205,South West,2021,176067
206,South West,2022,194030
207,Wales,2000,39816
208,Wales,2001,41082
209,Wales,2002,42874
210,Wales,2003,45654
211,Wales,2004,48387
212,Wales,2005,50666
213,Wales,2006,53340
214,Wales,2007,55435
215,Wales,2008,55911
216,Wales,2009,54742
217,Wales,2010,56739
218,Wales,2011,59404
219,Wales,2012,61319
220,Wales,2013,63646
221,Wales,2014,65402
222,Wales,2015,67350
223,Wales,2016,70135
224,Wales,2017,72590
225,Wales,2018,75297
226,Wales,2019,78479
227,Wales,2020,73913
228,Wales,2021,78460
229,Wales,2022,85412
230,Scotland,2000,83284
231,Scotland,2001,87909
232,Scotland,2002,91453
233,Scotland,2003,96735
234,Scotland,2004,103032
235,Scotland,2005,109211
236,Scotland,2006,116611
237,Scotland,2007,121605
238,Scotland,2008,126552
239,Scotland,2009,124916
240,Scotland,2010,126556
241,Scotland,2011,130852
242,Scotland,2012,134871
243,Scotland,2013,140901
244,Scotland,2014,147489
245,Scotland,2015,149194
246,Scotland,2016,151808
247,Scotland,2017,158895
248,Scotland,2018,162291
249,Scotland,2019,168681
250,Scotland,2020,157814
251,Scotland,2021,171173
252,Scotland,2022,186851
253,Northern Ireland,2000,25402
254,Northern Ireland,2001,26510
255,Northern Ireland,2002,27383
256,Northern Ireland,2003,29512
257,Northern Ireland,2004,30916
258,Northern Ireland,2005,32733
259,Northern Ireland,2006,34723
260,Northern Ireland,2007,36154
261,Northern Ireland,2008,36508
262,Northern Ireland,2009,35636
263,Northern Ireland,2010,35841
264,Northern Ireland,2011,37062
265,Northern Ireland,2012,38469
266,Northern Ireland,2013,39679
267,Northern Ireland,2014,40904
268,Northern Ireland,2015,42385
269,Northern Ireland,2016,44750
270,Northern Ireland,2017,46481
271,Northern Ireland,2018,47652
272,Northern Ireland,2019,50057
273,Northern Ireland,2020,47519
274,Northern Ireland,2021,52389
275,Northern Ireland,2022,56694
