,Region,Year,Table A.1a  Total identifiable expenditure on services,"Table A.1b  Total UK identifiable expenditure on services, per head ",Table A.2a  Real terms (1): Total identifiable expenditure on services,Table A.2b  Real terms (1): Total UK identifiable expenditure on services per head (2),Table A.3a  Total current and capital identifiable expenditure,"Table A.3b  Total current and capital UK identifiable expenditure, per head",Table A.4a  Real terms (1): Total current and capital identifiable expenditure,"Table A.4b  Real terms (1): Total current and capital UK identifiable expenditure, per head (2)",Table A.5  Identifiable expenditure on general public services,Table A.5a  Identifiable expenditure on general public services (of which: public and common services),Table A.5b  Identifiable expenditure on general public services (of which: international services),Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest),Table A.6  Identifiable expenditure on defence,Table A.7  Identifiable expenditure on public order and safety,Table A.8  Identifiable expenditure on economic affairs,Table A.8a  Identifiable expenditure on economic affairs (of which: enterprise and economic development),Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology),Table A.8c  Identifiable expenditure on economic affairs (of which: employment policies),"Table A.8d  Identifiable expenditure on economic affairs (of which: agriculture, fisheries and forestry)","Table A.8e  Identifiable expenditure on economic affairs (of which: transport (1,2))",Table A.9  Identifiable expenditure on environment protection,Table A.10  Identifiable expenditure on housing and community amenities,Table A.11  Identifiable expenditure on health,"Table A.12  Identifiable expenditure on recreation, culture and religion",Table A.13  Identifiable expenditure on education,Table A.14  Identifiable expenditure on social protection,Table A.15  UK identifiable expenditure on services by function per head (1),"Table A.16  UK identifiable expenditure on services by function, per head indexed",Table A.17  Total local government identifiable expenditure on services,"Table A.18  Total local government identifiable expenditure on services, per head (1)",Table A.19  Total identifiable expenditure on services excluding local government (1),Table A.20  UK identifiable expenditure excluding local government (1) per head (2),"Table A.21  Identifiable expenditure on services for Scotland, Wales and Northern Ireland in 2022-23"
36,South East,2019,82150,8935.0,91669.0,9971.0,82150.0,8935.0,91669.0,9971.0,1009.0,1000.0,9.0,-,8,3521.0,9505.0,2788.0,1064.0,208.0,580.0,4865.0,1113.0,1249.0,19869.0,773.0,11508.0,33596.0,,,19122.0,2080.0,63027.0,6855.0,
37,South East,2020,113203,12271.0,119796.0,12986.0,113203.0,12271.0,119796.0,12986.0,1367.0,1359.0,7.0,-,22,3771.0,28510.0,19177.0,1108.0,265.0,624.0,7337.0,1228.0,1309.0,27294.0,975.0,12041.0,36685.0,,,19904.0,2158.0,93299.0,10113.0,
38,South East,2021,98801,10629.0,105397.0,11338.0,98801.0,10629.0,105397.0,11338.0,1252.0,1243.0,9.0,-,17,3926.0,13665.0,5490.0,1126.0,438.0,635.0,5976.0,1372.0,1186.0,26760.0,924.0,12907.0,36793.0,,,20119.0,2164.0,78682.0,8464.0,
39,South East,2022,105467,11244.0,105467.0,11244.0,105467.0,11244.0,105467.0,11244.0,1246.0,1238.0,8.0,-,13,4260.0,16754.0,8807.0,1417.0,395.0,777.0,5359.0,1499.0,1310.0,25704.0,898.0,13906.0,39878.0,,,20841.0,2222.0,84627.0,9022.0,
40,South West,2018,49682,8856.0,56748.0,10116.0,49682.0,8856.0,56748.0,10116.0,541.0,536.0,5.0,-,3,2013.0,3695.0,827.0,393.0,104.0,683.0,1687.0,877.0,522.0,11850.0,481.0,6612.0,23088.0,,,10868.0,1937.0,38814.0,6919.0,
41,South West,2019,51939,9204.0,57957.0,10271.0,51939.0,9204.0,57957.0,10271.0,529.0,524.0,5.0,-,5,2216.0,4359.0,1197.0,418.0,152.0,663.0,1929.0,943.0,731.0,12811.0,472.0,6777.0,23096.0,,,11159.0,1978.0,40780.0,7227.0,
42,South West,2020,70608,12471.0,74721.0,13197.0,70608.0,12471.0,74721.0,13197.0,789.0,785.0,5.0,-,9,2381.0,15894.0,11754.0,486.0,172.0,744.0,2738.0,963.0,709.0,17277.0,638.0,7057.0,24892.0,,,11833.0,2090.0,58775.0,10381.0,
43,South West,2021,61796,10817.0,65921.0,11539.0,61796.0,10817.0,65921.0,11539.0,767.0,762.0,5.0,-,11,2491.0,6518.0,2688.0,507.0,275.0,702.0,2346.0,1057.0,663.0,17095.0,617.0,7458.0,25118.0,,,12128.0,2123.0,49668.0,8694.0,
44,South West,2022,66249,11492.0,66249.0,11492.0,66249.0,11492.0,66249.0,11492.0,768.0,763.0,5.0,-,9,2647.0,8408.0,4741.0,417.0,247.0,767.0,2236.0,1047.0,796.0,16673.0,564.0,8177.0,27160.0,,,12709.0,2205.0,53540.0,9287.0,
45,Total England,2018,520836,,,,,,,,,,,,,,,,,,,,,,,,,,,,126501.0,2262.0,394335.0,7051.0,
46,Total England,2019,543132,,,,,,,,,,,,,,,,,,,,,,,,,,,,128221.0,2280.0,414911.0,7379.0,
47,Total England,2020,737949,,,,,,,,,,,,,,,,,,,,,,,,,,,,137266.0,2437.0,600683.0,10664.0,
48,Total England,2021,650941,,,,,,,,,,,,,,,,,,,,,,,,,,,,137761.0,2436.0,513180.0,9074.0,
49,Total England,2022,698215,,,,,,,,,,,,,,,,,,,,,,,,,,,,144011.0,2522.0,554203.0,9705.0,
50,Scotland,2018,60694,11161.0,69326.0,12748.0,60694.0,11161.0,69326.0,12748.0,1195.0,1189.0,6.0,-,3,2837.0,6550.0,1531.0,346.0,257.0,925.0,3490.0,1283.0,2240.0,13022.0,1071.0,8648.0,23844.0,,,14714.0,2706.0,45980.0,8455.0,
51,Scotland,2019,63067,11544.0,70375.0,12881.0,63067.0,11544.0,70375.0,12881.0,1662.0,1656.0,6.0,-,3,3010.0,6892.0,1750.0,360.0,177.0,875.0,3730.0,1459.0,2327.0,13702.0,999.0,9258.0,23755.0,,,15741.0,2881.0,47326.0,8662.0,
