,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
202,2013,North West,G,   5-9,38,5650,5770
203,2013,North West,G,   10-19,36,2655,6902
204,2013,North West,G,   20-49,36,1235,9781
205,2013,North West,G,   50-99,23,340,5556
206,2013,North West,G,   100-199,19,130,19760
207,2013,North West,G,   200-249,7,30,2556
208,2013,North West,G,   250-499,15,45,3328
209,2013,North West,G,   500 or more,228,55,36776
210,2013,North West,H,   1,1,460,66
211,2013,North West,H,   2-4,5,1490,447
212,2013,North West,H,   5-9,5,735,469
213,2013,North West,H,   10-19,6,445,758
214,2013,North West,H,   20-49,9,285,1146
215,2013,North West,H,   50-99,6,90,719
216,2013,North West,H,   100-199,6,45,902
217,2013,North West,H,   200-249,2,10,669
218,2013,North West,H,   250-499,4,10,471
219,2013,North West,H,   500 or more,34,15,4247
220,2013,North West,I,   1,*,1935,195
221,2013,North West,I,   2-4,19,5410,769
222,2013,North West,I,   5-9,20,2775,692
223,2013,North West,I,   10-19,20,1415,663
224,2013,North West,I,   20-49,20,675,677
225,2013,North West,I,   50-99,12,180,461
226,2013,North West,I,   100-199,10,75,569
227,2013,North West,I,   200-249,*,10,*
228,2013,North West,I,   250-499,6,15,*
229,2013,North West,I,   500 or more,75,25,2509
230,2013,North West,J,   1,38,16840,2662
231,2013,North West,J,   2-4,178,59075,16096
232,2013,North West,J,   5-9,160,23345,14900
233,2013,North West,J,   10-19,177,12755,18037
234,2013,North West,J,   20-49,215,7060,25432
235,2013,North West,J,   50-99,150,2180,18198
236,2013,North West,J,   100-199,124,905,33135
237,2013,North West,J,   200-249,46,200,7569
238,2013,North West,J,   250-499,116,325,14706
239,2013,North West,J,   500 or more,630,295,98701
240,2013,North West,K,   1,0,105, -
241,2013,North West,K,   2-4,3,1035, -
242,2013,North West,K,   5-9,3,425, -
243,2013,North West,K,   10-19,3,235, -
244,2013,North West,K,   20-49,4,125, -
245,2013,North West,K,   50-99,*,45, -
246,2013,North West,K,   100-199,4,25, -
247,2013,North West,K,   200-249,*,5, -
248,2013,North West,K,   250-499,5,15, -
249,2013,North West,K,   500 or more,23,10, -
250,2013,North West,L,   1,1,260,*
251,2013,North West,L,   2-4,6,2110,535
252,2013,North West,L,   5-9,5,745,412
253,2013,North West,L,   10-19,4,285,262
254,2013,North West,L,   20-49,3,85,243
255,2013,North West,L,   50-99,2,30,150
256,2013,North West,L,   100-199,2,15,164
257,2013,North West,L,   200-249,*,5,*
258,2013,North West,L,   250-499,6,15,822
259,2013,North West,L,   500 or more,*,5,*
260,2013,North West,M,   1,3,1500,238
261,2013,North West,M,   2-4,22,8395,1867
262,2013,North West,M,   5-9,16,2280,1309
263,2013,North West,M,   10-19,17,1240,1358
264,2013,North West,M,   20-49,23,735,1904
265,2013,North West,M,   50-99,17,240,1735
266,2013,North West,M,   100-199,8,60,768
267,2013,North West,M,   200-249,4,15,469
268,2013,North West,M,   250-499,11,30,1090
269,2013,North West,M,   500 or more,57,35,10722
270,2013,North West,N,   1,3,1555,300
271,2013,North West,N,   2-4,13,4535,1424
272,2013,North West,N,   5-9,11,1570,1182
273,2013,North West,N,   10-19,12,870,1382
274,2013,North West,N,   20-49,14,455,1202
275,2013,North West,N,   50-99,14,195,1128
276,2013,North West,N,   100-199,15,110,1350
277,2013,North West,N,   200-249,7,30,373
278,2013,North West,N,   250-499,16,45,642
279,2013,North West,N,   500 or more,60,45,4571
280,2013,North West,P,   1,0,90,*
281,2013,North West,P,   2-4,2,765,135
282,2013,North West,P,   5-9,3,400,156
283,2013,North West,P,   10-19,3,220,*
284,2013,North West,P,   20-49,4,140,200
285,2013,North West,P,   50-99,3,45,*
286,2013,North West,P,   100-199,2,15,53
287,2013,North West,P,   200-249,*,5,*
288,2013,North West,P,   250-499,*,5,*
289,2013,North West,P,   500 or more,*,5,*
290,2013,North West,Q,   1,2,725,81
291,2013,North West,Q,   2-4,6,1770,*
292,2013,North West,Q,   5-9,11,1410,530
293,2013,North West,Q,   10-19,22,1430,1088
294,2013,North West,Q,   20-49,34,1100,1601
295,2013,North West,Q,   50-99,17,250,678
296,2013,North West,Q,   100-199,10,75,378
297,2013,North West,Q,   200-249,2,10,*
298,2013,North West,Q,   250-499,6,15,*
299,2013,North West,Q,   500 or more,22,15,535
300,2013,North West,R,   1,*,250,*
301,2013,North West,R,   2-4,3,990,218
302,2013,North West,R,   5-9,3,390,150
303,2013,North West,R,   10-19,3,200,*
304,2013,North West,R,   20-49,3,95,*
305,2013,North West,R,   50-99,2,30,226
306,2013,North West,R,   100-199,*,15,151
307,2013,North West,R,   200-249,*,5,*
308,2013,North West,R,   250-499,5,15,*
309,2013,North West,R,   500 or more,23,15,7436
310,2013,North West,S,   1,3,1480,103
311,2013,North West,S,   2-4,13,4030,544
312,2013,North West,S,   5-9,9,1270,434
313,2013,North West,S,   10-19,6,440,317
314,2013,North West,S,   20-49,4,150,335
315,2013,North West,S,   50-99,1,20,*
316,2013,North West,S,   100-199,1,10,95
317,2013,North West,S,   200-249,*,0,*
318,2013,North West,S,   250-499,*,5,*
319,2013,North West,S,   500 or more,*,5,*
320,2013,Yorkshire and the Humber,A,   1,4,1680,400
321,2013,Yorkshire and the Humber,A,   2-4,7,1900,807
322,2013,Yorkshire and the Humber,A,   5-9,4,545,460
323,2013,Yorkshire and the Humber,A,   10-19,3,215,382
324,2013,Yorkshire and the Humber,A,   20-49,*,65,212
325,2013,Yorkshire and the Humber,A,   50-99,1,20,132
326,2013,Yorkshire and the Humber,A,   100-199,*,5,*
327,2013,Yorkshire and the Humber,A,   200-249,*,0,*
328,2013,Yorkshire and the Humber,A,   250-499,0,0,0
329,2013,Yorkshire and the Humber,A,   500 or more,*,0,*
330,2013,Yorkshire and the Humber,B,   1,0,20,5
331,2013,Yorkshire and the Humber,B,   2-4,1,190,*
332,2013,Yorkshire and the Humber,B,   5-9,1,120,127
333,2013,Yorkshire and the Humber,B,   10-19,1,85,176
334,2013,Yorkshire and the Humber,B,   20-49,1,45,302
335,2013,Yorkshire and the Humber,B,   50-99,1,20,718
