,Region,Year,Other taxes on products
432,Worcestershire CC,2017,794
433,Worcestershire CC,2018,776
434,Worcestershire CC,2019,788
435,Worcestershire CC,2020,689
436,Worcestershire CC,2021,818
437,Worcestershire CC,2022,834
438,Warwickshire CC,2017,1411
439,Warwickshire CC,2018,1433
440,Warwickshire CC,2019,1455
441,Warwickshire CC,2020,1405
442,Warwickshire CC,2021,1578
443,Warwickshire CC,2022,1671
444,Shropshire and Staffordshire,2017,1997
445,Shropshire and Staffordshire,2018,1948
446,Shropshire and Staffordshire,2019,1871
447,Shropshire and Staffordshire,2020,1713
448,Shropshire and Staffordshire,2021,1970
449,Shropshire and Staffordshire,2022,2031
450,Telford and Wrekin,2017,195
451,Telford and Wrekin,2018,198
452,Telford and Wrekin,2019,201
453,Telford and Wrekin,2020,189
454,Telford and Wrekin,2021,219
455,Telford and Wrekin,2022,227
456,Shropshire CC,2017,374
457,Shropshire CC,2018,393
458,Shropshire CC,2019,368
459,Shropshire CC,2020,335
460,Shropshire CC,2021,406
461,Shropshire CC,2022,413
462,Stoke-on-Trent,2017,238
463,Stoke-on-Trent,2018,257
464,Stoke-on-Trent,2019,252
465,Stoke-on-Trent,2020,237
466,Stoke-on-Trent,2021,268
467,Stoke-on-Trent,2022,264
468,Staffordshire CC,2017,1190
469,Staffordshire CC,2018,1099
470,Staffordshire CC,2019,1051
471,Staffordshire CC,2020,952
472,Staffordshire CC,2021,1077
473,Staffordshire CC,2022,1127
474,West Midlands,2017,2929
475,West Midlands,2018,3042
476,West Midlands,2019,3086
477,West Midlands,2020,2520
478,West Midlands,2021,2777
479,West Midlands,2022,2908
480,Birmingham,2017,1048
481,Birmingham,2018,1060
482,Birmingham,2019,1038
483,Birmingham,2020,900
484,Birmingham,2021,1000
485,Birmingham,2022,1025
486,Solihull,2017,420
487,Solihull,2018,470
488,Solihull,2019,512
489,Solihull,2020,323
490,Solihull,2021,373
491,Solihull,2022,468
492,Coventry,2017,416
493,Coventry,2018,443
494,Coventry,2019,474
495,Coventry,2020,353
496,Coventry,2021,344
497,Coventry,2022,342
498,Dudley,2017,275
499,Dudley,2018,284
500,Dudley,2019,285
501,Dudley,2020,247
502,Dudley,2021,268
503,Dudley,2022,275
504,Sandwell,2017,304
505,Sandwell,2018,309
506,Sandwell,2019,304
507,Sandwell,2020,276
508,Sandwell,2021,316
509,Sandwell,2022,310
510,Walsall,2017,238
511,Walsall,2018,242
512,Walsall,2019,236
513,Walsall,2020,214
514,Walsall,2021,236
515,Walsall,2022,240
516,Wolverhampton,2017,228
517,Wolverhampton,2018,234
518,Wolverhampton,2019,238
519,Wolverhampton,2020,207
520,Wolverhampton,2021,239
521,Wolverhampton,2022,248
522,East,2017,8915
523,East,2018,8993
524,East,2019,9077
525,East,2020,7905
526,East,2021,9000
527,East,2022,9585
528,East Anglia,2017,3394
529,East Anglia,2018,3452
530,East Anglia,2019,3464
531,East Anglia,2020,3251
532,East Anglia,2021,3660
533,East Anglia,2022,3803
534,Peterborough,2017,267
535,Peterborough,2018,271
536,Peterborough,2019,285
537,Peterborough,2020,267
538,Peterborough,2021,314
539,Peterborough,2022,315
540,Cambridgeshire CC,2017,901
541,Cambridgeshire CC,2018,899
542,Cambridgeshire CC,2019,910
543,Cambridgeshire CC,2020,882
544,Cambridgeshire CC,2021,1031
545,Cambridgeshire CC,2022,1083
546,Suffolk CC,2017,1110
547,Suffolk CC,2018,1146
548,Suffolk CC,2019,1170
549,Suffolk CC,2020,1151
550,Suffolk CC,2021,1231
551,Suffolk CC,2022,1205
552,Norwich and East Norfolk,2017,466
553,Norwich and East Norfolk,2018,479
554,Norwich and East Norfolk,2019,439
555,Norwich and East Norfolk,2020,361
556,Norwich and East Norfolk,2021,415
557,Norwich and East Norfolk,2022,521
558,North and West Norfolk,2017,302
559,North and West Norfolk,2018,305
560,North and West Norfolk,2019,309
561,North and West Norfolk,2020,280
562,North and West Norfolk,2021,311
563,North and West Norfolk,2022,312
564,Breckland and South Norfolk,2017,348
565,Breckland and South Norfolk,2018,351
566,Breckland and South Norfolk,2019,352
567,Breckland and South Norfolk,2020,311
568,Breckland and South Norfolk,2021,357
569,Breckland and South Norfolk,2022,367
570,Bedfordshire and Hertfordshire,2017,2953
571,Bedfordshire and Hertfordshire,2018,2934
572,Bedfordshire and Hertfordshire,2019,2997
573,Bedfordshire and Hertfordshire,2020,2437
574,Bedfordshire and Hertfordshire,2021,2761
575,Bedfordshire and Hertfordshire,2022,3023
576,Luton,2017,353
577,Luton,2018,353
578,Luton,2019,381
579,Luton,2020,225
580,Luton,2021,236
581,Luton,2022,378
582,Hertfordshire CC,2017,1913
583,Hertfordshire CC,2018,1876
584,Hertfordshire CC,2019,1905
585,Hertfordshire CC,2020,1617
586,Hertfordshire CC,2021,1854
587,Hertfordshire CC,2022,1929
588,Bedford,2017,293
589,Bedford,2018,310
590,Bedford,2019,315
591,Bedford,2020,251
592,Bedford,2021,295
593,Bedford,2022,331
594,Central Bedfordshire,2017,394
595,Central Bedfordshire,2018,396
596,Central Bedfordshire,2019,396
597,Central Bedfordshire,2020,344
598,Central Bedfordshire,2021,375
599,Central Bedfordshire,2022,386
600,Essex,2017,2567
601,Essex,2018,2607
602,Essex,2019,2616
603,Essex,2020,2217
604,Essex,2021,2579
605,Essex,2022,2758
606,Southend-on-Sea,2017,156
607,Southend-on-Sea,2018,159
608,Southend-on-Sea,2019,139
609,Southend-on-Sea,2020,126
610,Southend-on-Sea,2021,138
611,Southend-on-Sea,2022,143
612,Thurrock,2017,243
613,Thurrock,2018,253
614,Thurrock,2019,246
615,Thurrock,2020,212
616,Thurrock,2021,227
617,Thurrock,2022,239
618,Essex Haven Gateway,2017,603
619,Essex Haven Gateway,2018,616
620,Essex Haven Gateway,2019,625
621,Essex Haven Gateway,2020,522
622,Essex Haven Gateway,2021,605
623,Essex Haven Gateway,2022,626
624,West Essex,2017,623
625,West Essex,2018,616
626,West Essex,2019,622
627,West Essex,2020,510
628,West Essex,2021,608
629,West Essex,2022,662
630,Heart of Essex,2017,596
631,Heart of Essex,2018,608
632,Heart of Essex,2019,610
633,Heart of Essex,2020,499
634,Heart of Essex,2021,607
635,Heart of Essex,2022,670
636,Essex Thames Gateway,2017,346
637,Essex Thames Gateway,2018,354
638,Essex Thames Gateway,2019,373
639,Essex Thames Gateway,2020,347
640,Essex Thames Gateway,2021,395
641,Essex Thames Gateway,2022,417
642,London,2017,15026
643,London,2018,15234
644,London,2019,15530
645,London,2020,13114
646,London,2021,15449
647,London,2022,17535
648,Inner London - West,2017,4672
649,Inner London - West,2018,4688
650,Inner London - West,2019,4685
651,Inner London - West,2020,4301
652,Inner London - West,2021,5105
653,Inner London - West,2022,5711
654,Camden and City of London,2017,2169
655,Camden and City of London,2018,2301
656,Camden and City of London,2019,2331
657,Camden and City of London,2020,2190
658,Camden and City of London,2021,2615
659,Camden and City of London,2022,2817
660,Westminster,2017,1801
661,Westminster,2018,1697
662,Westminster,2019,1644
663,Westminster,2020,1529
664,Westminster,2021,1813
665,Westminster,2022,2041
666,Kensington & Chelsea and Hammersmith & Fulham,2017,434
667,Kensington & Chelsea and Hammersmith & Fulham,2018,421
668,Kensington & Chelsea and Hammersmith & Fulham,2019,437
669,Kensington & Chelsea and Hammersmith & Fulham,2020,343
670,Kensington & Chelsea and Hammersmith & Fulham,2021,384
671,Kensington & Chelsea and Hammersmith & Fulham,2022,497
672,Wandsworth,2017,268
