,Region,Year,Value Added Tax (VAT) on products
343,East Derbyshire,2018,617
344,East Derbyshire,2019,638
345,East Derbyshire,2020,574
346,East Derbyshire,2021,659
347,East Derbyshire,2022,769
348,South and West Derbyshire,2017,1035
349,South and West Derbyshire,2018,1096
350,South and West Derbyshire,2019,1135
351,South and West Derbyshire,2020,1022
352,South and West Derbyshire,2021,1175
353,South and West Derbyshire,2022,1366
354,Nottingham,2017,663
355,Nottingham,2018,703
356,Nottingham,2019,726
357,Nottingham,2020,651
358,Nottingham,2021,737
359,Nottingham,2022,873
360,North Nottinghamshire,2017,975
361,North Nottinghamshire,2018,1033
362,North Nottinghamshire,2019,1067
363,North Nottinghamshire,2020,959
364,North Nottinghamshire,2021,1102
365,North Nottinghamshire,2022,1285
366,South Nottinghamshire,2017,706
367,South Nottinghamshire,2018,750
368,South Nottinghamshire,2019,775
369,South Nottinghamshire,2020,699
370,South Nottinghamshire,2021,800
371,South Nottinghamshire,2022,934
372,"Leicestershire, Rutland and Northamptonshire",2017,3601
373,"Leicestershire, Rutland and Northamptonshire",2018,3578
374,"Leicestershire, Rutland and Northamptonshire",2019,3698
375,"Leicestershire, Rutland and Northamptonshire",2020,3324
376,"Leicestershire, Rutland and Northamptonshire",2021,3804
377,"Leicestershire, Rutland and Northamptonshire",2022,4444
378,Leicester,2017,705
379,Leicester,2018,702
380,Leicester,2019,724
381,Leicester,2020,647
382,Leicester,2021,731
383,Leicester,2022,860
384,Leicestershire CC and Rutland,2017,1417
385,Leicestershire CC and Rutland,2018,1405
386,Leicestershire CC and Rutland,2019,1452
387,Leicestershire CC and Rutland,2020,1309
388,Leicestershire CC and Rutland,2021,1503
389,Leicestershire CC and Rutland,2022,1758
390,West Northamptonshire,2017,802
391,West Northamptonshire,2018,798
392,West Northamptonshire,2019,827
393,West Northamptonshire,2020,742
394,West Northamptonshire,2021,851
395,West Northamptonshire,2022,988
396,North Northamptonshire,2017,677
397,North Northamptonshire,2018,673
398,North Northamptonshire,2019,695
399,North Northamptonshire,2020,626
400,North Northamptonshire,2021,718
401,North Northamptonshire,2022,837
402,Lincolnshire,2017,1502
403,Lincolnshire,2018,1726
404,Lincolnshire,2019,1784
405,Lincolnshire,2020,1603
406,Lincolnshire,2021,1835
407,Lincolnshire,2022,2144
408,Lincolnshire CC,2017,1502
409,Lincolnshire CC,2018,1726
410,Lincolnshire CC,2019,1784
411,Lincolnshire CC,2020,1603
412,Lincolnshire CC,2021,1835
413,Lincolnshire CC,2022,2144
414,West Midlands,2017,11067
415,West Midlands,2018,11395
416,West Midlands,2019,12053
417,West Midlands,2020,11066
418,West Midlands,2021,12955
419,West Midlands,2022,15056
420,"Herefordshire, Worcestershire and Warwickshire",2017,3104
421,"Herefordshire, Worcestershire and Warwickshire",2018,3108
422,"Herefordshire, Worcestershire and Warwickshire",2019,3288
423,"Herefordshire, Worcestershire and Warwickshire",2020,3019
424,"Herefordshire, Worcestershire and Warwickshire",2021,3534
425,"Herefordshire, Worcestershire and Warwickshire",2022,4107
426,"Herefordshire, County of",2017,429
