,Region,Year,Gross value added (Balanced) at current basic prices
328,East Midlands,2021,119820
329,East Midlands,2022,128795
330,Derbyshire and Nottinghamshire,2017,46489
331,Derbyshire and Nottinghamshire,2018,48454
332,Derbyshire and Nottinghamshire,2019,50389
333,Derbyshire and Nottinghamshire,2020,50451
334,Derbyshire and Nottinghamshire,2021,53281
335,Derbyshire and Nottinghamshire,2022,56294
336,Derby,2017,6706
337,Derby,2018,7171
338,Derby,2019,7456
339,Derby,2020,7751
340,Derby,2021,8155
341,Derby,2022,8380
342,East Derbyshire,2017,5458
343,East Derbyshire,2018,5715
344,East Derbyshire,2019,5883
345,East Derbyshire,2020,6152
346,East Derbyshire,2021,6664
347,East Derbyshire,2022,7016
348,South and West Derbyshire,2017,9652
349,South and West Derbyshire,2018,10021
350,South and West Derbyshire,2019,10730
351,South and West Derbyshire,2020,10580
352,South and West Derbyshire,2021,11138
353,South and West Derbyshire,2022,11471
354,Nottingham,2017,10142
355,Nottingham,2018,10324
356,Nottingham,2019,10504
357,Nottingham,2020,10237
358,Nottingham,2021,10693
359,Nottingham,2022,11477
360,North Nottinghamshire,2017,8593
361,North Nottinghamshire,2018,8878
362,North Nottinghamshire,2019,9272
363,North Nottinghamshire,2020,9168
364,North Nottinghamshire,2021,9709
365,North Nottinghamshire,2022,10245
366,South Nottinghamshire,2017,5938
367,South Nottinghamshire,2018,6345
368,South Nottinghamshire,2019,6544
369,South Nottinghamshire,2020,6565
370,South Nottinghamshire,2021,6924
371,South Nottinghamshire,2022,7704
372,"Leicestershire, Rutland and Northamptonshire",2017,43622
373,"Leicestershire, Rutland and Northamptonshire",2018,45780
374,"Leicestershire, Rutland and Northamptonshire",2019,47001
375,"Leicestershire, Rutland and Northamptonshire",2020,44753
376,"Leicestershire, Rutland and Northamptonshire",2021,49590
377,"Leicestershire, Rutland and Northamptonshire",2022,54370
378,Leicester,2017,8246
379,Leicester,2018,8619
380,Leicester,2019,8910
381,Leicester,2020,8550
382,Leicester,2021,9401
383,Leicester,2022,9996
384,Leicestershire CC and Rutland,2017,17388
385,Leicestershire CC and Rutland,2018,18077
386,Leicestershire CC and Rutland,2019,18374
387,Leicestershire CC and Rutland,2020,17265
388,Leicestershire CC and Rutland,2021,19329
389,Leicestershire CC and Rutland,2022,21571
390,West Northamptonshire,2017,11456
391,West Northamptonshire,2018,12240
392,West Northamptonshire,2019,12644
393,West Northamptonshire,2020,12144
394,West Northamptonshire,2021,13420
395,West Northamptonshire,2022,14602
396,North Northamptonshire,2017,6532
397,North Northamptonshire,2018,6843
398,North Northamptonshire,2019,7073
399,North Northamptonshire,2020,6795
400,North Northamptonshire,2021,7440
401,North Northamptonshire,2022,8202
402,Lincolnshire,2017,14735
403,Lincolnshire,2018,15238
404,Lincolnshire,2019,15977
405,Lincolnshire,2020,15540
406,Lincolnshire,2021,16948
407,Lincolnshire,2022,18131
408,Lincolnshire CC,2017,14735
409,Lincolnshire CC,2018,15238
410,Lincolnshire CC,2019,15977
411,Lincolnshire CC,2020,15540
412,Lincolnshire CC,2021,16948
413,Lincolnshire CC,2022,18131
414,West Midlands,2017,135971
415,West Midlands,2018,140639
416,West Midlands,2019,143430
417,West Midlands,2020,136085
418,West Midlands,2021,147563
419,West Midlands,2022,160370
420,"Herefordshire, Worcestershire and Warwickshire",2017,36037
421,"Herefordshire, Worcestershire and Warwickshire",2018,37289
422,"Herefordshire, Worcestershire and Warwickshire",2019,37951
423,"Herefordshire, Worcestershire and Warwickshire",2020,36320
424,"Herefordshire, Worcestershire and Warwickshire",2021,37581
425,"Herefordshire, Worcestershire and Warwickshire",2022,40522
426,"Herefordshire, County of",2017,3692
427,"Herefordshire, County of",2018,3894
428,"Herefordshire, County of",2019,4049
429,"Herefordshire, County of",2020,3893
430,"Herefordshire, County of",2021,4170
431,"Herefordshire, County of",2022,4456
432,Worcestershire CC,2017,13544
433,Worcestershire CC,2018,14048
434,Worcestershire CC,2019,14422
435,Worcestershire CC,2020,14111
436,Worcestershire CC,2021,14467
437,Worcestershire CC,2022,15614
438,Warwickshire CC,2017,18801
439,Warwickshire CC,2018,19347
440,Warwickshire CC,2019,19480
441,Warwickshire CC,2020,18316
442,Warwickshire CC,2021,18945
443,Warwickshire CC,2022,20452
444,Shropshire and Staffordshire,2017,33314
445,Shropshire and Staffordshire,2018,34718
446,Shropshire and Staffordshire,2019,35710
447,Shropshire and Staffordshire,2020,34629
448,Shropshire and Staffordshire,2021,39995
449,Shropshire and Staffordshire,2022,43512
450,Telford and Wrekin,2017,4263
451,Telford and Wrekin,2018,4418
452,Telford and Wrekin,2019,4651
453,Telford and Wrekin,2020,4733
454,Telford and Wrekin,2021,5457
455,Telford and Wrekin,2022,6143
456,Shropshire CC,2017,6000
457,Shropshire CC,2018,6301
458,Shropshire CC,2019,6336
459,Shropshire CC,2020,6155
460,Shropshire CC,2021,7080
461,Shropshire CC,2022,7856
462,Stoke-on-Trent,2017,5239
463,Stoke-on-Trent,2018,5619
464,Stoke-on-Trent,2019,5792
465,Stoke-on-Trent,2020,5757
466,Stoke-on-Trent,2021,6515
467,Stoke-on-Trent,2022,6845
468,Staffordshire CC,2017,17812
469,Staffordshire CC,2018,18379
470,Staffordshire CC,2019,18931
471,Staffordshire CC,2020,17985
472,Staffordshire CC,2021,20944
473,Staffordshire CC,2022,22668
474,West Midlands,2017,66620
475,West Midlands,2018,68632
476,West Midlands,2019,69770
477,West Midlands,2020,65135
478,West Midlands,2021,69987
479,West Midlands,2022,76335
480,Birmingham,2017,26650
481,Birmingham,2018,27729
482,Birmingham,2019,28337
483,Birmingham,2020,26871
484,Birmingham,2021,29240
485,Birmingham,2022,32013
486,Solihull,2017,9142
487,Solihull,2018,9401
488,Solihull,2019,9666
489,Solihull,2020,8471
490,Solihull,2021,8823
491,Solihull,2022,9711
492,Coventry,2017,9818
493,Coventry,2018,9963
494,Coventry,2019,10181
495,Coventry,2020,9410
496,Coventry,2021,9894
497,Coventry,2022,10723
498,Dudley,2017,5098
499,Dudley,2018,5152
500,Dudley,2019,5273
501,Dudley,2020,4931
502,Dudley,2021,5440
503,Dudley,2022,5931
504,Sandwell,2017,6333
505,Sandwell,2018,6560
506,Sandwell,2019,6391
507,Sandwell,2020,6231
508,Sandwell,2021,6393
509,Sandwell,2022,6798
510,Walsall,2017,4723
511,Walsall,2018,4702
512,Walsall,2019,4666
513,Walsall,2020,4295
514,Walsall,2021,4738
515,Walsall,2022,5088
516,Wolverhampton,2017,4856
517,Wolverhampton,2018,5125
518,Wolverhampton,2019,5256
519,Wolverhampton,2020,4927
520,Wolverhampton,2021,5460
521,Wolverhampton,2022,6069
522,East,2017,158425
523,East,2018,161840
524,East,2019,168719
525,East,2020,159550
526,East,2021,173381
527,East,2022,189303
528,East Anglia,2017,61929
529,East Anglia,2018,62793
530,East Anglia,2019,66515
531,East Anglia,2020,64644
532,East Anglia,2021,68903
533,East Anglia,2022,74203
534,Peterborough,2017,6309
535,Peterborough,2018,6783
536,Peterborough,2019,6449
537,Peterborough,2020,6327
538,Peterborough,2021,6838
539,Peterborough,2022,7189
540,Cambridgeshire CC,2017,19150
541,Cambridgeshire CC,2018,19455
