,Region,Year,Gross domestic product (GDP) at current market prices
309,Leeds,2020,28231
310,Leeds,2021,31421
311,Leeds,2022,34716
312,Calderdale and Kirklees,2017,14019
313,Calderdale and Kirklees,2018,14683
314,Calderdale and Kirklees,2019,14764
315,Calderdale and Kirklees,2020,13991
316,Calderdale and Kirklees,2021,15417
317,Calderdale and Kirklees,2022,16209
318,Wakefield,2017,8209
319,Wakefield,2018,8693
320,Wakefield,2019,9066
321,Wakefield,2020,8660
322,Wakefield,2021,9425
323,Wakefield,2022,10413
324,East Midlands,2017,120120
325,East Midlands,2018,125412
326,East Midlands,2019,129712
327,East Midlands,2020,124928
328,East Midlands,2021,136155
329,East Midlands,2022,146482
330,Derbyshire and Nottinghamshire,2017,53577
331,Derbyshire and Nottinghamshire,2018,55883
332,Derbyshire and Nottinghamshire,2019,58011
333,Derbyshire and Nottinghamshire,2020,57122
334,Derbyshire and Nottinghamshire,2021,60900
335,Derbyshire and Nottinghamshire,2022,64487
336,Derby,2017,7568
337,Derby,2018,8077
338,Derby,2019,8380
339,Derby,2020,8545
340,Derby,2021,9046
341,Derby,2022,9341
342,East Derbyshire,2017,6383
343,East Derbyshire,2018,6674
344,East Derbyshire,2019,6871
345,East Derbyshire,2020,7039
346,East Derbyshire,2021,7680
347,East Derbyshire,2022,8085
348,South and West Derbyshire,2017,11282
349,South and West Derbyshire,2018,11723
350,South and West Derbyshire,2019,12487
351,South and West Derbyshire,2020,12103
352,South and West Derbyshire,2021,12907
353,South and West Derbyshire,2022,13351
354,Nottingham,2017,11157
355,Nottingham,2018,11390
356,Nottingham,2019,11592
357,Nottingham,2020,11204
358,Nottingham,2021,11773
359,Nottingham,2022,12691
360,North Nottinghamshire,2017,10145
361,North Nottinghamshire,2018,10504
362,North Nottinghamshire,2019,10934
363,North Nottinghamshire,2020,10623
364,North Nottinghamshire,2021,11384
365,North Nottinghamshire,2022,12041
366,South Nottinghamshire,2017,7043
367,South Nottinghamshire,2018,7514
368,South Nottinghamshire,2019,7747
369,South Nottinghamshire,2020,7607
370,South Nottinghamshire,2021,8111
371,South Nottinghamshire,2022,8978
372,"Leicestershire, Rutland and Northamptonshire",2017,49521
373,"Leicestershire, Rutland and Northamptonshire",2018,51704
374,"Leicestershire, Rutland and Northamptonshire",2019,53065
375,"Leicestershire, Rutland and Northamptonshire",2020,50030
376,"Leicestershire, Rutland and Northamptonshire",2021,55778
377,"Leicestershire, Rutland and Northamptonshire",2022,61074
378,Leicester,2017,9223
379,Leicester,2018,9583
380,Leicester,2019,9901
381,Leicester,2020,9441
382,Leicester,2021,10439
383,Leicester,2022,11139
384,Leicestershire CC and Rutland,2017,19791
385,Leicestershire CC and Rutland,2018,20501
386,Leicestershire CC and Rutland,2019,20835
387,Leicestershire CC and Rutland,2020,19362
388,Leicestershire CC and Rutland,2021,21777
389,Leicestershire CC and Rutland,2022,24230
390,West Northamptonshire,2017,12934
391,West Northamptonshire,2018,13737
392,West Northamptonshire,2019,14188
393,West Northamptonshire,2020,13475
394,West Northamptonshire,2021,15038
395,West Northamptonshire,2022,16337
396,North Northamptonshire,2017,7573
397,North Northamptonshire,2018,7883
398,North Northamptonshire,2019,8141
399,North Northamptonshire,2020,7752
400,North Northamptonshire,2021,8525
401,North Northamptonshire,2022,9368
402,Lincolnshire,2017,17022
403,Lincolnshire,2018,17824
404,Lincolnshire,2019,18635
405,Lincolnshire,2020,17776
406,Lincolnshire,2021,19476
407,Lincolnshire,2022,20921
408,Lincolnshire CC,2017,17022
409,Lincolnshire CC,2018,17824
410,Lincolnshire CC,2019,18635
411,Lincolnshire CC,2020,17776
412,Lincolnshire CC,2021,19476
413,Lincolnshire CC,2022,20921
414,West Midlands,2017,153676
415,West Midlands,2018,158584
416,West Midlands,2019,161987
417,West Midlands,2020,152542
418,West Midlands,2021,166973
419,West Midlands,2022,181354
420,"Herefordshire, Worcestershire and Warwickshire",2017,41289
421,"Herefordshire, Worcestershire and Warwickshire",2018,42481
422,"Herefordshire, Worcestershire and Warwickshire",2019,43329
423,"Herefordshire, Worcestershire and Warwickshire",2020,41091
424,"Herefordshire, Worcestershire and Warwickshire",2021,43276
425,"Herefordshire, Worcestershire and Warwickshire",2022,46742
426,"Herefordshire, County of",2017,4330
427,"Herefordshire, County of",2018,4525
428,"Herefordshire, County of",2019,4700
429,"Herefordshire, County of",2020,4421
430,"Herefordshire, County of",2021,4793
431,"Herefordshire, County of",2022,5148
432,Worcestershire CC,2017,15657
433,Worcestershire CC,2018,16141
434,Worcestershire CC,2019,16603
435,Worcestershire CC,2020,16038
436,Worcestershire CC,2021,16742
437,Worcestershire CC,2022,18083
438,Warwickshire CC,2017,21302
439,Warwickshire CC,2018,21814
440,Warwickshire CC,2019,22026
441,Warwickshire CC,2020,20632
442,Warwickshire CC,2021,21741
443,Warwickshire CC,2022,23511
444,Shropshire and Staffordshire,2017,38507
445,Shropshire and Staffordshire,2018,39828
446,Shropshire and Staffordshire,2019,40951
447,Shropshire and Staffordshire,2020,39291
448,Shropshire and Staffordshire,2021,45488
449,Shropshire and Staffordshire,2022,49421
450,Telford and Wrekin,2017,4816
451,Telford and Wrekin,2018,4971
452,Telford and Wrekin,2019,5228
453,Telford and Wrekin,2020,5260
454,Telford and Wrekin,2021,6079
455,Telford and Wrekin,2022,6819
456,Shropshire CC,2017,6999
457,Shropshire CC,2018,7300
458,Shropshire CC,2019,7355
459,Shropshire CC,2020,7023
460,Shropshire CC,2021,8129
461,Shropshire CC,2022,8985
462,Stoke-on-Trent,2017,5996
463,Stoke-on-Trent,2018,6373
464,Stoke-on-Trent,2019,6568
465,Stoke-on-Trent,2020,6470
466,Stoke-on-Trent,2021,7345
467,Stoke-on-Trent,2022,7723
468,Staffordshire CC,2017,20696
469,Staffordshire CC,2018,21184
470,Staffordshire CC,2019,21800
471,Staffordshire CC,2020,20539
472,Staffordshire CC,2021,23935
473,Staffordshire CC,2022,25893
474,West Midlands,2017,73880
475,West Midlands,2018,76275
476,West Midlands,2019,77707
477,West Midlands,2020,72160
478,West Midlands,2021,78210
479,West Midlands,2022,85192
480,Birmingham,2017,29423
481,Birmingham,2018,30641
482,Birmingham,2019,31339
483,Birmingham,2020,29540
484,Birmingham,2021,32361
485,Birmingham,2022,35367
486,Solihull,2017,9867
487,Solihull,2018,10164
488,Solihull,2019,10472
489,Solihull,2020,9115
490,Solihull,2021,9596
491,Solihull,2022,10604
492,Coventry,2017,10692
493,Coventry,2018,10883
