,Region,Year,Gross domestic product (GDP) per head at current market prices
285,"Barnsley, Doncaster and Rotherham",2020,20303
286,"Barnsley, Doncaster and Rotherham",2021,21883
287,"Barnsley, Doncaster and Rotherham",2022,23460
288,Sheffield,2017,25432
289,Sheffield,2018,25591
290,Sheffield,2019,26692
291,Sheffield,2020,26503
292,Sheffield,2021,28815
293,Sheffield,2022,30896
294,West Yorkshire,2017,26266
295,West Yorkshire,2018,27354
296,West Yorkshire,2019,27856
297,West Yorkshire,2020,26389
298,West Yorkshire,2021,28997
299,West Yorkshire,2022,31287
300,Bradford,2017,20370
301,Bradford,2018,20531
302,Bradford,2019,20664
303,Bradford,2020,20171
304,Bradford,2021,21746
305,Bradford,2022,23644
306,Leeds,2017,34766
307,Leeds,2018,36475
308,Leeds,2019,37366
309,Leeds,2020,34921
310,Leeds,2021,38817
311,Leeds,2022,42209
312,Calderdale and Kirklees,2017,21876
313,Calderdale and Kirklees,2018,22914
314,Calderdale and Kirklees,2019,23033
315,Calderdale and Kirklees,2020,21866
316,Calderdale and Kirklees,2021,24078
317,Calderdale and Kirklees,2022,25119
318,Wakefield,2017,24091
319,Wakefield,2018,25237
320,Wakefield,2019,26038
321,Wakefield,2020,24673
322,Wakefield,2021,26639
323,Wakefield,2022,29107
324,East Midlands,2017,25138
325,East Midlands,2018,26045
326,East Midlands,2019,26778
327,East Midlands,2020,25729
328,East Midlands,2021,27892
329,East Midlands,2022,29683
330,Derbyshire and Nottinghamshire,2017,24614
331,Derbyshire and Nottinghamshire,2018,25559
332,Derbyshire and Nottinghamshire,2019,26429
333,Derbyshire and Nottinghamshire,2020,25991
334,Derbyshire and Nottinghamshire,2021,27631
335,Derbyshire and Nottinghamshire,2022,28914
336,Derby,2017,28984
337,Derby,2018,30781
338,Derby,2019,31860
339,Derby,2020,32613
340,Derby,2021,34626
341,Derby,2022,35451
342,East Derbyshire,2017,22588
343,East Derbyshire,2018,23607
344,East Derbyshire,2019,24221
345,East Derbyshire,2020,24753
346,East Derbyshire,2021,26812
347,East Derbyshire,2022,27934
348,South and West Derbyshire,2017,22550
349,South and West Derbyshire,2018,23343
350,South and West Derbyshire,2019,24717
351,South and West Derbyshire,2020,23897
352,South and West Derbyshire,2021,25294
353,South and West Derbyshire,2022,25974
354,Nottingham,2017,34823
355,Nottingham,2018,35338
356,Nottingham,2019,35872
357,Nottingham,2020,34708
358,Nottingham,2021,36792
359,Nottingham,2022,38631
360,North Nottinghamshire,2017,21536
361,North Nottinghamshire,2018,22196
362,North Nottinghamshire,2019,23026
363,North Nottinghamshire,2020,22339
364,North Nottinghamshire,2021,23784
365,North Nottinghamshire,2022,24909
366,South Nottinghamshire,2017,20638
367,South Nottinghamshire,2018,21876
368,South Nottinghamshire,2019,22453
369,South Nottinghamshire,2020,21950
370,South Nottinghamshire,2021,23340
371,South Nottinghamshire,2022,25547
372,"Leicestershire, Rutland and Northamptonshire",2017,26788
373,"Leicestershire, Rutland and Northamptonshire",2018,27627
374,"Leicestershire, Rutland and Northamptonshire",2019,28110
375,"Leicestershire, Rutland and Northamptonshire",2020,26414
376,"Leicestershire, Rutland and Northamptonshire",2021,29233
377,"Leicestershire, Rutland and Northamptonshire",2022,31659
378,Leicester,2017,25485
379,Leicester,2018,26105
380,Leicester,2019,26776
381,Leicester,2020,25592
382,Leicester,2021,28448
383,Leicester,2022,29831
384,Leicestershire CC and Rutland,2017,27212
385,Leicestershire CC and Rutland,2018,27886
386,Leicestershire CC and Rutland,2019,28118
387,Leicestershire CC and Rutland,2020,25948
388,Leicestershire CC and Rutland,2021,28883
389,Leicestershire CC and Rutland,2022,31744
390,West Northamptonshire,2017,31414
391,West Northamptonshire,2018,32924
392,West Northamptonshire,2019,33608
393,West Northamptonshire,2020,31889
394,West Northamptonshire,2021,35241
395,West Northamptonshire,2022,38081
396,North Northamptonshire,2017,21780
397,North Northamptonshire,2018,22395
398,North Northamptonshire,2019,22943
399,North Northamptonshire,2020,21748
400,North Northamptonshire,2021,23654
401,North Northamptonshire,2022,25777
402,Lincolnshire,2017,22605
403,Lincolnshire,2018,23537
404,Lincolnshire,2019,24479
405,Lincolnshire,2020,23279
406,Lincolnshire,2021,25313
407,Lincolnshire,2022,26977
408,Lincolnshire CC,2017,22605
409,Lincolnshire CC,2018,23537
410,Lincolnshire CC,2019,24479
411,Lincolnshire CC,2020,23279
412,Lincolnshire CC,2021,25313
413,Lincolnshire CC,2022,26977
414,West Midlands,2017,26247
415,West Midlands,2018,26927
416,West Midlands,2019,27358
417,West Midlands,2020,25715
418,West Midlands,2021,28033
419,West Midlands,2022,30117
420,"Herefordshire, Worcestershire and Warwickshire",2017,30561
421,"Herefordshire, Worcestershire and Warwickshire",2018,31238
422,"Herefordshire, Worcestershire and Warwickshire",2019,31655
423,"Herefordshire, Worcestershire and Warwickshire",2020,29885
424,"Herefordshire, Worcestershire and Warwickshire",2021,31099
425,"Herefordshire, Worcestershire and Warwickshire",2022,33255
426,"Herefordshire, County of",2017,23193
427,"Herefordshire, County of",2018,24264
428,"Herefordshire, County of",2019,25216
429,"Herefordshire, County of",2020,23784
430,"Herefordshire, County of",2021,25561
431,"Herefordshire, County of",2022,27278
432,Worcestershire CC,2017,26446
433,Worcestershire CC,2018,27128
434,Worcestershire CC,2019,27753
435,Worcestershire CC,2020,26737
436,Worcestershire CC,2021,27677
437,Worcestershire CC,2022,29683
438,Warwickshire CC,2017,37222
439,Warwickshire CC,2018,37715
440,Warwickshire CC,2019,37706
441,Warwickshire CC,2020,35014
442,Warwickshire CC,2021,36288
443,Warwickshire CC,2022,38694
444,Shropshire and Staffordshire,2017,23850
445,Shropshire and Staffordshire,2018,24550
446,Shropshire and Staffordshire,2019,25106
447,Shropshire and Staffordshire,2020,24024
448,Shropshire and Staffordshire,2021,27628
449,Shropshire and Staffordshire,2022,29731
450,Telford and Wrekin,2017,27129
451,Telford and Wrekin,2018,27688
452,Telford and Wrekin,2019,28710
453,Telford and Wrekin,2020,28667
454,Telford and Wrekin,2021,32708
455,Telford and Wrekin,2022,36105
456,Shropshire CC,2017,22203
457,Shropshire CC,2018,23020
458,Shropshire CC,2019,23003
459,Shropshire CC,2020,21874
460,Shropshire CC,2021,25036
461,Shropshire CC,2022,27464
462,Stoke-on-Trent,2017,23218
463,Stoke-on-Trent,2018,24621
464,Stoke-on-Trent,2019,25342
465,Stoke-on-Trent,2020,24994
466,Stoke-on-Trent,2021,28456
467,Stoke-on-Trent,2022,29709
468,Staffordshire CC,2017,23967
469,Staffordshire CC,2018,24439
470,Staffordshire CC,2019,25055
471,Staffordshire CC,2020,23551
472,Staffordshire CC,2021,27267
473,Staffordshire CC,2022,29216
474,West Midlands,2017,25568
475,West Midlands,2018,26237
476,West Midlands,2019,26602
477,West Midlands,2020,24700
478,West Midlands,2021,26800
479,West Midlands,2022,28841
480,Birmingham,2017,25812
481,Birmingham,2018,26736
482,Birmingham,2019,27236
483,Birmingham,2020,25717
484,Birmingham,2021,28305
485,Birmingham,2022,30552
486,Solihull,2017,46036
487,Solihull,2018,47296
488,Solihull,2019,48409
489,Solihull,2020,42113
490,Solihull,2021,44287
491,Solihull,2022,48712
492,Coventry,2017,31443
493,Coventry,2018,31747
494,Coventry,2019,32423
495,Coventry,2020,29760
496,Coventry,2021,31578
497,Coventry,2022,33117
498,Dudley,2017,18345
499,Dudley,2018,18566
500,Dudley,2019,18979
501,Dudley,2020,17644
502,Dudley,2021,19545
503,Dudley,2022,21145
504,Sandwell,2017,21427
505,Sandwell,2018,22034
506,Sandwell,2019,21426
507,Sandwell,2020,20649
508,Sandwell,2021,21518
509,Sandwell,2022,22691
510,Walsall,2017,19216
511,Walsall,2018,19159
512,Walsall,2019,19000
513,Walsall,2020,17462
