Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover,Total Exp.,UK Exp/Head,Real terms Exp.,UK Real terms Exp/Head,General. Public. Exp.,General. Public. Exp.(common services),General. Public. Exp.(international services),Defence Exp.,Safety Exp.,Economic Total. Exp.,Economic. Exp.(Enterprise),Economic. Exp.(Sci. & Tech),Economic. Exp.(Employment),"Economic. Exp.(Agri., Fish., For.)",Economic. Exp.(Transport),Environment. Exp.,Housing & Community Exp.,Health Exp.,Culture & Religion Exp.,Education Exp.,Social Protection Exp.,Local Govt. Exp.,Local Govt. Exp/Head,Total Exp. (excl. Local Govt.),GVA (Balanced),VAT on Products,Other Taxes,Subsidies,GDP (Current),Population,GDP per Head,GVA Deflators,"GDP CVM Index, 2019 equals 100",GDP CVM (in 2019 money value),GDP CVM (Per Head in 2019 money value),GDP CVM Growth,GDP CVM Per Head Growth
2013,north east,M,   50-99,4,50,196,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,N,1,7.3652842,485,93,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,N,   5-9,3,380,279,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,N,   10-19,3,235,365,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,N,   20-49,4,130,242,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,N,   50-99,4,55,310,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,P,   200-249,0,0,0,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,Q,1,6.808444049,245,25,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,Q,   5-9,2,295,116,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,Q,   10-19,6,370,284,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,Q,   20-49,11,350,566,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,Q,   50-99,7,105,276,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,Q,   100-199,3,25,185,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
