,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value, per head"
362,North Nottinghamshire,2019,23026
363,North Nottinghamshire,2020,21086
364,North Nottinghamshire,2021,22720
365,North Nottinghamshire,2022,22605
366,South Nottinghamshire,2017,21603
367,South Nottinghamshire,2018,22400
368,South Nottinghamshire,2019,22453
369,South Nottinghamshire,2020,20658
370,South Nottinghamshire,2021,22333
371,South Nottinghamshire,2022,23134
372,"Leicestershire, Rutland and Northamptonshire",2017,27978
373,"Leicestershire, Rutland and Northamptonshire",2018,28265
374,"Leicestershire, Rutland and Northamptonshire",2019,28110
375,"Leicestershire, Rutland and Northamptonshire",2020,24789
376,"Leicestershire, Rutland and Northamptonshire",2021,27922
377,"Leicestershire, Rutland and Northamptonshire",2022,28599
378,Leicester,2017,26295
379,Leicester,2018,26523
380,Leicester,2019,26776
381,Leicester,2020,23103
382,Leicester,2021,27210
383,Leicester,2022,27417
384,Leicestershire CC and Rutland,2017,28455
385,Leicestershire CC and Rutland,2018,28574
386,Leicestershire CC and Rutland,2019,28118
387,Leicestershire CC and Rutland,2020,24781
388,Leicestershire CC and Rutland,2021,27702
389,Leicestershire CC and Rutland,2022,28713
390,West Northamptonshire,2017,33276
391,West Northamptonshire,2018,33917
392,West Northamptonshire,2019,33608
393,West Northamptonshire,2020,29819
394,West Northamptonshire,2021,33304
395,West Northamptonshire,2022,34056
396,North Northamptonshire,2017,22847
397,North Northamptonshire,2018,23004
398,North Northamptonshire,2019,22943
399,North Northamptonshire,2020,20490
400,North Northamptonshire,2021,22637
401,North Northamptonshire,2022,23394
402,Lincolnshire,2017,23634
403,Lincolnshire,2018,23947
404,Lincolnshire,2019,24479
405,Lincolnshire,2020,21678
406,Lincolnshire,2021,23806
407,Lincolnshire,2022,23974
408,Lincolnshire CC,2017,23649
409,Lincolnshire CC,2018,24016
410,Lincolnshire CC,2019,24479
411,Lincolnshire CC,2020,21709
412,Lincolnshire CC,2021,23786
413,Lincolnshire CC,2022,23942
414,West Midlands,2017,27501
415,West Midlands,2018,27657
416,West Midlands,2019,27358
417,West Midlands,2020,24337
418,West Midlands,2021,26822
419,West Midlands,2022,27278
420,"Herefordshire, Worcestershire and Warwickshire",2017,31933
421,"Herefordshire, Worcestershire and Warwickshire",2018,32040
422,"Herefordshire, Worcestershire and Warwickshire",2019,31655
423,"Herefordshire, Worcestershire and Warwickshire",2020,28904
424,"Herefordshire, Worcestershire and Warwickshire",2021,30129
425,"Herefordshire, Worcestershire and Warwickshire",2022,30303
426,"Herefordshire, County of",2017,24117
427,"Herefordshire, County of",2018,24702
428,"Herefordshire, County of",2019,25216
429,"Herefordshire, County of",2020,22468
430,"Herefordshire, County of",2021,23995
431,"Herefordshire, County of",2022,24144
432,Worcestershire CC,2017,27437
433,Worcestershire CC,2018,27750
434,Worcestershire CC,2019,27753
435,Worcestershire CC,2020,25792
436,Worcestershire CC,2021,26594
437,Worcestershire CC,2022,27084
438,Warwickshire CC,2017,39460
439,Warwickshire CC,2018,39013
440,Warwickshire CC,2019,37706
441,Warwickshire CC,2020,34065
442,Warwickshire CC,2021,35411
443,Warwickshire CC,2022,35200
444,Shropshire and Staffordshire,2017,25012
445,Shropshire and Staffordshire,2018,25204
446,Shropshire and Staffordshire,2019,25106
447,Shropshire and Staffordshire,2020,22549
448,Shropshire and Staffordshire,2021,26243
449,Shropshire and Staffordshire,2022,26857
450,Telford and Wrekin,2017,28079
451,Telford and Wrekin,2018,28449
452,Telford and Wrekin,2019,28710
453,Telford and Wrekin,2020,27568
454,Telford and Wrekin,2021,31539
455,Telford and Wrekin,2022,32836
456,Shropshire CC,2017,23366
457,Shropshire CC,2018,23604
458,Shropshire CC,2019,23003
459,Shropshire CC,2020,20331
460,Shropshire CC,2021,23410
461,Shropshire CC,2022,24317
462,Stoke-on-Trent,2017,23910
463,Stoke-on-Trent,2018,25235
464,Stoke-on-Trent,2019,25342
465,Stoke-on-Trent,2020,23134
466,Stoke-on-Trent,2021,27178
467,Stoke-on-Trent,2022,27345
468,Staffordshire CC,2017,25312
469,Staffordshire CC,2018,25111
470,Staffordshire CC,2019,25055
471,Staffordshire CC,2020,22219
472,Staffordshire CC,2021,25995
473,Staffordshire CC,2022,26351
474,West Midlands,2017,26820
475,West Midlands,2018,26975
476,West Midlands,2019,26602
477,West Midlands,2020,23193
478,West Midlands,2021,25576
479,West Midlands,2022,26077
480,Birmingham,2017,26906
481,Birmingham,2018,27411
482,Birmingham,2019,27236
483,Birmingham,2020,23721
484,Birmingham,2021,26562
485,Birmingham,2022,27636
486,Solihull,2017,48580
487,Solihull,2018,48860
488,Solihull,2019,48409
489,Solihull,2020,41265
490,Solihull,2021,43094
491,Solihull,2022,43970
492,Coventry,2017,33002
493,Coventry,2018,32712
494,Coventry,2019,32423
495,Coventry,2020,27702
496,Coventry,2021,29821
497,Coventry,2022,29812
498,Dudley,2017,19421
499,Dudley,2018,19139
500,Dudley,2019,18979
501,Dudley,2020,16439
502,Dudley,2021,18450
503,Dudley,2022,19045
504,Sandwell,2017,22645
505,Sandwell,2018,22808
506,Sandwell,2019,21426
507,Sandwell,2020,19666
508,Sandwell,2021,20545
509,Sandwell,2022,20581
510,Walsall,2017,20281
511,Walsall,2018,19768
512,Walsall,2019,19000
513,Walsall,2020,16491
514,Walsall,2021,18340
515,Walsall,2022,18575
516,Wolverhampton,2017,22132
517,Wolverhampton,2018,22585
518,Wolverhampton,2019,22549
519,Wolverhampton,2020,19371
520,Wolverhampton,2021,21843
521,Wolverhampton,2022,22846
522,East,2017,30222
523,East,2018,30054
524,East,2019,30455
525,East,2020,26745
526,East,2021,29316
527,East,2022,30218
528,East Anglia,2017,28871
529,East Anglia,2018,28621
530,East Anglia,2019,29499
531,East Anglia,2020,26551
532,East Anglia,2021,28617
533,East Anglia,2022,29116
534,Peterborough,2017,34351
535,Peterborough,2018,36326
536,Peterborough,2019,33704
537,Peterborough,2020,30908
538,Peterborough,2021,33766
539,Peterborough,2022,33753
540,Cambridgeshire CC,2017,33558
541,Cambridgeshire CC,2018,33156
542,Cambridgeshire CC,2019,34489
543,Cambridgeshire CC,2020,31900
544,Cambridgeshire CC,2021,33999
545,Cambridgeshire CC,2022,34783
546,Suffolk CC,2017,28086
547,Suffolk CC,2018,28196
548,Suffolk CC,2019,29093
549,Suffolk CC,2020,25949
550,Suffolk CC,2021,27614
551,Suffolk CC,2022,27884
552,Norwich and East Norfolk,2017,28726
553,Norwich and East Norfolk,2018,27387
554,Norwich and East Norfolk,2019,29802
555,Norwich and East Norfolk,2020,26061
556,Norwich and East Norfolk,2021,28370
557,Norwich and East Norfolk,2022,29548
558,North and West Norfolk,2017,21357
