,Region,Year,Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value
332,Derbyshire and Nottinghamshire,2019,58011
333,Derbyshire and Nottinghamshire,2020,53695
334,Derbyshire and Nottinghamshire,2021,58085
335,Derbyshire and Nottinghamshire,2022,58267
336,Derby,2017,7862
337,Derby,2018,8186
338,Derby,2019,8380
339,Derby,2020,8141
340,Derby,2021,8581
341,Derby,2022,8450
342,East Derbyshire,2017,6802
343,East Derbyshire,2018,6907
344,East Derbyshire,2019,6871
345,East Derbyshire,2020,6564
346,East Derbyshire,2021,7217
347,East Derbyshire,2022,7213
348,South and West Derbyshire,2017,11871
349,South and West Derbyshire,2018,12085
350,South and West Derbyshire,2019,12487
351,South and West Derbyshire,2020,11783
352,South and West Derbyshire,2021,12568
353,South and West Derbyshire,2022,12080
354,Nottingham,2017,11676
355,Nottingham,2018,11715
356,Nottingham,2019,11592
357,Nottingham,2020,10152
358,Nottingham,2021,11010
359,Nottingham,2022,11454
360,North Nottinghamshire,2017,10573
361,North Nottinghamshire,2018,10737
362,North Nottinghamshire,2019,10934
363,North Nottinghamshire,2020,10027
364,North Nottinghamshire,2021,10874
365,North Nottinghamshire,2022,10927
366,South Nottinghamshire,2017,7372
367,South Nottinghamshire,2018,7694
368,South Nottinghamshire,2019,7747
369,South Nottinghamshire,2020,7160
370,South Nottinghamshire,2021,7761
371,South Nottinghamshire,2022,8130
372,"Leicestershire, Rutland and Northamptonshire",2017,51720
373,"Leicestershire, Rutland and Northamptonshire",2018,52898
374,"Leicestershire, Rutland and Northamptonshire",2019,53065
375,"Leicestershire, Rutland and Northamptonshire",2020,46952
376,"Leicestershire, Rutland and Northamptonshire",2021,53276
377,"Leicestershire, Rutland and Northamptonshire",2022,55172
378,Leicester,2017,9516
379,Leicester,2018,9737
380,Leicester,2019,9901
381,Leicester,2020,8523
382,Leicester,2021,9984
383,Leicester,2022,10237
384,Leicestershire CC and Rutland,2017,20695
385,Leicestershire CC and Rutland,2018,21006
386,Leicestershire CC and Rutland,2019,20835
387,Leicestershire CC and Rutland,2020,18491
388,Leicestershire CC and Rutland,2021,20887
389,Leicestershire CC and Rutland,2022,21917
390,West Northamptonshire,2017,13701
391,West Northamptonshire,2018,14152
392,West Northamptonshire,2019,14188
393,West Northamptonshire,2020,12600
394,West Northamptonshire,2021,14211
395,West Northamptonshire,2022,14610
396,North Northamptonshire,2017,7944
397,North Northamptonshire,2018,8097
398,North Northamptonshire,2019,8141
399,North Northamptonshire,2020,7303
400,North Northamptonshire,2021,8159
401,North Northamptonshire,2022,8502
402,Lincolnshire,2017,17797
403,Lincolnshire,2018,18134
404,Lincolnshire,2019,18635
405,Lincolnshire,2020,16554
406,Lincolnshire,2021,18317
407,Lincolnshire,2022,18592
408,Lincolnshire CC,2017,17809
409,Lincolnshire CC,2018,18187
410,Lincolnshire CC,2019,18635
411,Lincolnshire CC,2020,16577
412,Lincolnshire CC,2021,18302
413,Lincolnshire CC,2022,18568
414,West Midlands,2017,161021
415,West Midlands,2018,162882
416,West Midlands,2019,161987
417,West Midlands,2020,144367
418,West Midlands,2021,159761
419,West Midlands,2022,164256
420,"Herefordshire, Worcestershire and Warwickshire",2017,43142
421,"Herefordshire, Worcestershire and Warwickshire",2018,43570
422,"Herefordshire, Worcestershire and Warwickshire",2019,43329
423,"Herefordshire, Worcestershire and Warwickshire",2020,39742
424,"Herefordshire, Worcestershire and Warwickshire",2021,41926
425,"Herefordshire, Worcestershire and Warwickshire",2022,42592
426,"Herefordshire, County of",2017,4502
427,"Herefordshire, County of",2018,4607
428,"Herefordshire, County of",2019,4700
429,"Herefordshire, County of",2020,4177
