,Region,Year,Total resident population numbers
287,"Barnsley, Doncaster and Rotherham",2022,825863
288,Sheffield,2017,555675
289,Sheffield,2018,556771
290,Sheffield,2019,556399
291,Sheffield,2020,555036
292,Sheffield,2021,555035
293,Sheffield,2022,566242
294,West Yorkshire,2017,2315182
295,West Yorkshire,2018,2325461
296,West Yorkshire,2019,2339795
297,West Yorkshire,2020,2346416
298,West Yorkshire,2021,2350407
299,West Yorkshire,2022,2378148
300,Bradford,2017,540447
301,Bradford,2018,542542
302,Bradford,2019,545966
303,Bradford,2020,547141
304,Bradford,2021,546839
305,Bradford,2022,552644
306,Leeds,2017,793134
307,Leeds,2018,797696
308,Leeds,2019,804640
309,Leeds,2020,808443
310,Leeds,2021,809479
311,Leeds,2022,822483
312,Calderdale and Kirklees,2017,640852
313,Calderdale and Kirklees,2018,640786
314,Calderdale and Kirklees,2019,640988
315,Calderdale and Kirklees,2020,639854
316,Calderdale and Kirklees,2021,640286
317,Calderdale and Kirklees,2022,645292
318,Wakefield,2017,340749
319,Wakefield,2018,344437
320,Wakefield,2019,348201
321,Wakefield,2020,350978
322,Wakefield,2021,353803
323,Wakefield,2022,357729
324,East Midlands,2017,4778346
325,East Midlands,2018,4815151
326,East Midlands,2019,4844001
327,East Midlands,2020,4855469
328,East Midlands,2021,4881559
329,East Midlands,2022,4934939
330,Derbyshire and Nottinghamshire,2017,2176697
331,Derbyshire and Nottinghamshire,2018,2186393
332,Derbyshire and Nottinghamshire,2019,2194954
333,Derbyshire and Nottinghamshire,2020,2197772
334,Derbyshire and Nottinghamshire,2021,2204080
335,Derbyshire and Nottinghamshire,2022,2230289
336,Derby,2017,261104
337,Derby,2018,262395
338,Derby,2019,263014
339,Derby,2020,261999
340,Derby,2021,261260
341,Derby,2022,263490
342,East Derbyshire,2017,282577
343,East Derbyshire,2018,282722
344,East Derbyshire,2019,283703
345,East Derbyshire,2020,284386
346,East Derbyshire,2021,286440
347,East Derbyshire,2022,289446
348,South and West Derbyshire,2017,500305
349,South and West Derbyshire,2018,502204
350,South and West Derbyshire,2019,505177
351,South and West Derbyshire,2020,506447
352,South and West Derbyshire,2021,510270
353,South and West Derbyshire,2022,514018
354,Nottingham,2017,320378
355,Nottingham,2018,322323
356,Nottingham,2019,323160
357,Nottingham,2020,322822
358,Nottingham,2021,319978
359,Nottingham,2022,328513
360,North Nottinghamshire,2017,471083
361,North Nottinghamshire,2018,473259
362,North Nottinghamshire,2019,474867
363,North Nottinghamshire,2020,475550
364,North Nottinghamshire,2021,478627
365,North Nottinghamshire,2022,483397
366,South Nottinghamshire,2017,341250
367,South Nottinghamshire,2018,343490
368,South Nottinghamshire,2019,345033
369,South Nottinghamshire,2020,346568
370,South Nottinghamshire,2021,347505
371,South Nottinghamshire,2022,351425
372,"Leicestershire, Rutland and Northamptonshire",2017,1848618
373,"Leicestershire, Rutland and Northamptonshire",2018,1871477
374,"Leicestershire, Rutland and Northamptonshire",2019,1887784
375,"Leicestershire, Rutland and Northamptonshire",2020,1894087
376,"Leicestershire, Rutland and Northamptonshire",2021,1908039
377,"Leicestershire, Rutland and Northamptonshire",2022,1929126
378,Leicester,2017,361895
379,Leicester,2018,367094
380,Leicester,2019,369776
381,Leicester,2020,368922
382,Leicester,2021,366940
383,Leicester,2022,373399
384,Leicestershire CC and Rutland,2017,727287
385,Leicestershire CC and Rutland,2018,735143
386,Leicestershire CC and Rutland,2019,740992
387,Leicestershire CC and Rutland,2020,746169
388,Leicestershire CC and Rutland,2021,753974
389,Leicestershire CC and Rutland,2022,763306
390,West Northamptonshire,2017,411732
391,West Northamptonshire,2018,417242
392,West Northamptonshire,2019,422168
393,West Northamptonshire,2020,422559
394,West Northamptonshire,2021,426707
395,West Northamptonshire,2022,429013
396,North Northamptonshire,2017,347704
397,North Northamptonshire,2018,351998
398,North Northamptonshire,2019,354848
399,North Northamptonshire,2020,356437
400,North Northamptonshire,2021,360418
401,North Northamptonshire,2022,363408
402,Lincolnshire,2017,753031
403,Lincolnshire,2018,757281
404,Lincolnshire,2019,761263
405,Lincolnshire,2020,763610
406,Lincolnshire,2021,769440
407,Lincolnshire,2022,775524
408,Lincolnshire CC,2017,753031
409,Lincolnshire CC,2018,757281
410,Lincolnshire CC,2019,761263
411,Lincolnshire CC,2020,763610
412,Lincolnshire CC,2021,769440
413,Lincolnshire CC,2022,775524
414,West Midlands,2017,5855052
415,West Midlands,2018,5889328
416,West Midlands,2019,5920977
417,West Midlands,2020,5931924
418,West Midlands,2021,5956226
419,West Midlands,2022,6021653
420,"Herefordshire, Worcestershire and Warwickshire",2017,1351030
421,"Herefordshire, Worcestershire and Warwickshire",2018,1359892
422,"Herefordshire, Worcestershire and Warwickshire",2019,1368778
423,"Herefordshire, Worcestershire and Warwickshire",2020,1374958
424,"Herefordshire, Worcestershire and Warwickshire",2021,1391539
425,"Herefordshire, Worcestershire and Warwickshire",2022,1405539
426,"Herefordshire, County of",2017,186687
427,"Herefordshire, County of",2018,186511
428,"Herefordshire, County of",2019,186373
429,"Herefordshire, County of",2020,185886
430,"Herefordshire, County of",2021,187522
431,"Herefordshire, County of",2022,188719
432,Worcestershire CC,2017,592040
433,Worcestershire CC,2018,594992
434,Worcestershire CC,2019,598250
435,Worcestershire CC,2020,599819
436,Worcestershire CC,2021,604902
437,Worcestershire CC,2022,609216
438,Warwickshire CC,2017,572303
439,Warwickshire CC,2018,578389
440,Warwickshire CC,2019,584155
441,Warwickshire CC,2020,589253
442,Warwickshire CC,2021,599115
443,Warwickshire CC,2022,607604
444,Shropshire and Staffordshire,2017,1614523
445,Shropshire and Staffordshire,2018,1622313
446,Shropshire and Staffordshire,2019,1631108
447,Shropshire and Staffordshire,2020,1635490
448,Shropshire and Staffordshire,2021,1646436
449,Shropshire and Staffordshire,2022,1662298
450,Telford and Wrekin,2017,177528
451,Telford and Wrekin,2018,179548
452,Telford and Wrekin,2019,182081
453,Telford and Wrekin,2020,183483
454,Telford and Wrekin,2021,185857
455,Telford and Wrekin,2022,188871
456,Shropshire CC,2017,315232
457,Shropshire CC,2018,317112
458,Shropshire CC,2019,319729
459,Shropshire CC,2020,321054
460,Shropshire CC,2021,324669
461,Shropshire CC,2022,327178
462,Stoke-on-Trent,2017,258235
